Tipos de cambio (pesos por d—lar),,
,,
Periodo,1. D—lar observado,
16.Dec.2016,663.68,
17.Dec.2016,,
18.Dec.2016,,
19.Dec.2016,670.16,
20.Dec.2016,677.11,
21.Dec.2016,676.09,
22.Dec.2016,672.24,
23.Dec.2016,674.96,
24.Dec.2016,,
25.Dec.2016,,
26.Dec.2016,673.48,
27.Dec.2016,672.69,
28.Dec.2016,673.73,
29.Dec.2016,673.06,
30.Dec.2016,667.29,
,,
,,
